product_name,current_inventory,max_capacity
  DOORMAT UNION JACK GUNS AND ROSES,52,195
 3 STRIPEY MICE FELTCRAFT,321,652
 4 PURPLE FLOCK DINNER CANDLES,142,368
 50'S CHRISTMAS GIFT BAG LARGE,715,2249
 ANIMAL STICKERS,95,315
 BLACK PIRATE TREASURE CHEST,11,39
 BROWN  PIRATE TREASURE CHEST ,7,39
 Bank Charges,0,1
 CAMPHOR WOOD PORTOBELLO MUSHROOM,16,37
 CHERRY BLOSSOM  DECORATIVE FLASK,127,251
 DOLLY GIRL BEAKER,494,1939
 FAIRY CAKE CANDLES,75,169
 FLAMINGO LIGHTS,150,286
 HOME SWEET HOME  BLACKBOARD,30,115
 I LOVE LONDON MINI BACKPACK,91,375
 I LOVE LONDON MINI RUCKSACK,0,0
 IVORY PAPER CUP CAKE CASES ,333,929
 LARGE SKULL WINDMILL,2,8
 NEW BAROQUE BLACK BOXES,1,4
 NINE DRAWER OFFICE TIDY,15,60
 OVAL WALL MIRROR DIAMANTE ,54,163
 PAINT YOUR OWN CANVAS SET,116,467
 PEACE WOODEN BLOCK LETTERS,38,134
 RED SPOT GIFT BAG LARGE,526,1684
 RED/WHITE DOT MINI CASES,161,457
 RIDGED GLASS T-LIGHT HOLDER,409,1085
 SET 2 TEA TOWELS I LOVE LONDON ,961,4280
 SET Of 6 SOLDIER SKITTLES,5,14
 SILVER CHERRY LIGHTS,99,276
 SILVER T-LIGHT SETTING,7,43
 SPACEBOY BABY GIFT SET,172,533
 STAR  T-LIGHT HOLDER ,5,20
 TOADSTOOL BEDSIDE LIGHT ,0,1
 TRELLIS COAT RACK,105,197
 VINTAGE DESIGN GIFT TAGS,119,288
 WHITE BAMBOO RIBS LAMPSHADE,92,179
 WHITE CHERRY LIGHTS,578,2049
10 COLOUR SPACEBOY PEN,2816,11215
11 PC CERAMIC TEA SET POLKADOT,1,2
12 ASS ZINC CHRISTMAS DECORATIONS,146,424
12 COLOURED PARTY BALLOONS,1000,5070
12 DAISY PEGS IN WOOD BOX,316,747
12 EGG HOUSE PAINTED WOOD,99,489
12 HANGING EGGS HAND PAINTED,19,34
12 IVORY ROSE PEG PLACE SETTINGS,666,2067
12 MESSAGE CARDS WITH ENVELOPES,1213,2969
12 MINI TOADSTOOL PEGS,139,475
12 PENCIL SMALL TUBE WOODLAND,3294,8362
12 PENCILS SMALL TUBE POSY,188,480
12 PENCILS SMALL TUBE RED RETROSPOT,2558,8359
12 PENCILS SMALL TUBE RED SPOTTY,3928,7373
12 PENCILS SMALL TUBE SKULL,5606,15379
12 PENCILS TALL TUBE POSY,2824,6903
12 PENCILS TALL TUBE RED RETROSPOT,1811,3611
12 PENCILS TALL TUBE RED SPOTTY,850,2304
12 PENCILS TALL TUBE SKULLS,2229,5444
12 PENCILS TALL TUBE WOODLAND,1017,3604
12 PINK HEN+CHICKS IN BASKET,23,101
12 PINK ROSE PEG PLACE SETTINGS,315,1743
12 RED ROSE PEG PLACE SETTINGS,348,978
15 PINK FLUFFY CHICKS IN BOX,9,25
15CM CHRISTMAS GLASS BALL 20 LIGHTS,727,3062
16 PC CUTLERY SET PANTRY DESIGN,1,4
16 PIECE CUTLERY SET PANTRY DESIGN,64,169
18PC WOODEN CUTLERY SET DISPOSABLE,142,454
2 DAISIES HAIR COMB,6,17
2 PICTURE BOOK EGGS EASTER BUNNY,173,773
2 PICTURE BOOK EGGS EASTER CHICKS,316,784
2 PICTURE BOOK EGGS EASTER DUCKS,147,795
20 DOLLY PEGS RETROSPOT,2774,5117
200 BENDY SKULL STRAWS,535,1258
200 RED + WHITE BENDY STRAWS,517,2019
24 HANGING EASTER EGGS FLORAL TUB,132,630
3 BIRDS CANVAS SCREEN,1,2
3 BLACK CATS W HEARTS BLANK CARD,32,94
3 DRAWER ANTIQUE WHITE WOOD CABINET,299,816
3 GARDENIA MORRIS BOXED CANDLES,358,830
3 HEARTS HANGING DECORATION RUSTIC,1875,8787
3 HOOK HANGER MAGIC GARDEN,822,2381
3 HOOK PHOTO SHELF ANTIQUE WHITE,717,3108
3 PIECE JIGSAW TOADSTOOLS,7,17
3 PIECE SPACEBOY COOKIE CUTTER SET,1054,2741
3 PINK HEN+CHICKS IN BASKET,29,118
3 RAFFIA RIBBONS 50'S CHRISTMAS ,392,1871
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,199,643
3 ROSE MORRIS BOXED CANDLES,370,1381
3 STRIPEY MICE FELTCRAFT,2975,6167
3 TIER CAKE TIN GREEN AND CREAM,190,464
3 TIER CAKE TIN RED AND CREAM,398,802
3 TIER SWEETHEART GARDEN SHELF,21,61
3 TRADITIONAL COOKIE CUTTERS  SET,86,407
3 TRADITIONAl BISCUIT CUTTERS  SET,603,1448
3 WHITE CHOC MORRIS BOXED CANDLES,478,1248
3 WICK CHRISTMAS BRIAR CANDLE ,95,267
36 DOILIES DOLLY GIRL,838,1821
36 DOILIES SPACEBOY DESIGN ,245,793
36 DOILIES VINTAGE CHRISTMAS,2763,6934
36 FOIL HEART CAKE CASES,839,2275
36 FOIL STAR CAKE CASES ,300,1447
36 PENCILS TUBE POSY,39,155
36 PENCILS TUBE RED RETROSPOT,958,3679
36 PENCILS TUBE RED SPOTTY,1260,3416
36 PENCILS TUBE SKULLS,1128,3851
36 PENCILS TUBE WOODLAND,1259,3494
3D CHRISTMAS STAMPS STICKERS ,876,2201
3D DOG PICTURE PLAYING CARDS,348,1306
3D HEARTS  HONEYCOMB PAPER GARLAND,276,980
3D SHEET OF CAT STICKERS,497,998
3D SHEET OF DOG STICKERS,320,1226
3D SHEET OF SEA WORLD STICKERS,32,168
3D STICKERS CHRISTMAS STAMPS,269,971
3D STICKERS TRADITIONAL CHRISTMAS ,243,1065
3D STICKERS VINTAGE CHRISTMAS,507,1005
3D TRADITIONAL CHRISTMAS STICKERS,1049,1985
3D VINTAGE CHRISTMAS STICKERS ,968,2441
4 BLUE DINNER CANDLES SILVER FLOCK,100,208
4 BURGUNDY WINE DINNER CANDLES,239,622
4 FESTIVE GREEN DINNER CANDLES,13,45
4 GOLD FLOCK CHRISTMAS BALLS,58,149
4 IVORY DINNER CANDLES GOLD FLOCK,296,969
4 IVORY DINNER CANDLES SILVER FLOCK,589,1199
4 LAVENDER BOTANICAL DINNER CANDLES,532,1066
4 LILY  BOTANICAL DINNER CANDLES,235,924
4 PEAR BOTANICAL DINNER CANDLES,254,1297
4 PINK DINNER CANDLE SILVER FLOCK,69,253
4 PINK FLOCK CHRISTMAS BALLS,53,152
4 ROSE PINK DINNER CANDLES,240,545
4 SKY BLUE DINNER CANDLES,172,404
4 TRADITIONAL SPINNING TOPS,1555,6998
4 VANILLA BOTANICAL CANDLES,374,1159
4 WILDFLOWER BOTANICAL CANDLES,194,491
5 HOOK BLACKBOARD ORGANISER ,80,246
5 HOOK HANGER MAGIC TOADSTOOL,428,1731
5 HOOK HANGER RED MAGIC TOADSTOOL,1363,4260
5 STRAND GLASS NECKLACE AMBER,7,13
5 STRAND GLASS NECKLACE AMETHYST,5,16
5 STRAND GLASS NECKLACE BLACK,6,15
5 STRAND GLASS NECKLACE CRYSTAL,41,88
50'S CHRISTMAS PAPER GIFT BAG,410,1225
50CM METAL STRING WITH  7 CLIPS,155,377
6 CHOCOLATE LOVE HEART T-LIGHTS,1280,2527
6 CROCHET STRAWBERRIES,259,921
6 EGG HOUSE PAINTED WOOD,327,967
6 GIFT TAGS 50'S CHRISTMAS ,971,3992
6 GIFT TAGS VINTAGE CHRISTMAS ,1066,3348
6 HOOK JEWEL STAND LILAC DRESS,0,1
6 HOOK JEWELLERY STAND BLACK DRESS,197,560
6 RABBIT CHAIN EASTER,18,55
6 RIBBONS ELEGANT CHRISTMAS ,666,2583
6 RIBBONS EMPIRE  ,602,2273
6 RIBBONS RUSTIC CHARM,7693,13444
6 RIBBONS SHIMMERING PINKS ,475,1817
6 ROCKET BALLOONS ,920,4144
6 SEGMENT COLOURED SNACK BOWL ,6,15
60 CAKE CASES DOLLY GIRL DESIGN,4924,11291
60 CAKE CASES VINTAGE CHRISTMAS,7026,20932
60 GOLD AND SILVER FAIRY CAKE CASES,1698,4810
60 TEATIME FAIRY CAKE CASES,22921,52646
6PC WOOD PLATE SET DISPOSABLE,109,359
70'S ALPHABET WALL ART,62,128
72 CAKE CASES DOLLY GIRL DESIGN,292,1113
72 CAKE CASES VINTAGE CHRISTMAS,1682,3579
72 ROUND PINK DOILIES,44,101
72 SWEETHEART FAIRY CAKE CASES,12460,32438
75 BLACK FAIRY CAKE CASES,223,1033
75 BLACK PETIT FOUR CASES,241,544
75 GREEN FAIRY CAKE CASES,612,1759
75 GREEN PETIT FOUR CASES,350,1252
A PRETTY THANK YOU CARD,92,392
A4 WALL TIDY BLUE OFFICE,90,212
A4 WALL TIDY RED FLOWERS,6,14
ABC TREASURE BOOK BOX ,428,2260
ABSTRACT CIRCLE JOURNAL ,320,803
ABSTRACT CIRCLES NOTEBOOK,854,3017
ABSTRACT CIRCLES POCKET BOOK,2122,5158
ABSTRACT CIRCLES SKETCHBOOK ,152,719
"ACRYLIC BEAD CHAIN, BLUE",93,270
"ACRYLIC BEAD CHAIN, PINK",36,127
"ACRYLIC BEAD GARLAND,PINK",0,1
ACRYLIC GEOMETRIC LAMP,6,22
"ACRYLIC HANGING JEWEL,BLUE",115,354
"ACRYLIC HANGING JEWEL,PINK",22,86
"ACRYLIC JEWEL ANGEL,BLUE",65,137
"ACRYLIC JEWEL ANGEL,PINK",135,324
"ACRYLIC JEWEL ICICLE, BLUE",111,460
"ACRYLIC JEWEL ICICLE, PINK",219,628
"ACRYLIC JEWEL SNOWFLAKE, PINK",74,158
"ACRYLIC JEWEL SNOWFLAKE,BLUE",86,252
"ACRYLIC JEWEL SNOWFLAKE,PINK",145,375
ADULT APRON APPLE DELIGHT,49,148
ADVENT CALENDAR GINGHAM SACK,414,1964
AFGHAN SLIPPER SOCK PAIR,1326,2273
AGED GLASS SILVER T-LIGHT HOLDER,8263,16939
