product_name,price_elasticity,pricing_recommendation,total_revenue
REGENCY CAKESTAND 3 TIER,-19.397,Reduce Price (Highly Elastic),286486.3
WHITE HANGING HEART T-LIGHT HOLDER,-23.497,Reduce Price (Highly Elastic),252072.46
Manual,-0.269,Increase Price (Inelastic),152340.57
JUMBO BAG RED RETROSPOT,-0.334,Optimize / Monitor Price,136980.08
ASSORTED COLOUR BIRD ORNAMENT,-9.749,Reduce Price (Highly Elastic),127074.17
POSTAGE,-0.075,Increase Price (Inelastic),126563.04000000001
PARTY BUNTING,6.76,Increase Price (Inelastic),103880.23000000001
MEDIUM CERAMIC TOP STORAGE JAR,-30.932,Reduce Price (Highly Elastic),81416.73000000001
PAPER CHAIN KIT 50'S CHRISTMAS ,-19.028,Reduce Price (Highly Elastic),79594.33
CHILLI LIGHTS,-0.759,Optimize / Monitor Price,72860.14
BLACK RECORD COVER FRAME,4.955,Increase Price (Inelastic),67209.44
JUMBO BAG STRAWBERRY,-4.357,Reduce Price (Highly Elastic),64601.65
WOOD BLACK BOARD ANT WHITE FINISH,-1.757,Reduce Price (Highly Elastic),60513.09
ROTATING SILVER ANGELS T-LIGHT HLDR,-3.438,Reduce Price (Highly Elastic),57779.17
VINTAGE UNION JACK BUNTING,-27.457,Reduce Price (Highly Elastic),54815.12
EDWARDIAN PARASOL NATURAL,-11.314,Reduce Price (Highly Elastic),54741.46
JUMBO  BAG BAROQUE BLACK WHITE,-4.838,Reduce Price (Highly Elastic),53168.340000000004
CREAM HEART CARD HOLDER,-11.602,Reduce Price (Highly Elastic),52627.29
HEART OF WICKER LARGE,-35.107,Reduce Price (Highly Elastic),52157.68000000001
VINTAGE UNION JACK MEMOBOARD,-89.847,Reduce Price (Highly Elastic),51465.619999999995
RABBIT NIGHT LIGHT,-15.513,Reduce Price (Highly Elastic),51346.200000000004
RED HANGING HEART T-LIGHT HOLDER,-9.118,Reduce Price (Highly Elastic),50010.85
JUMBO STORAGE BAG SUKI,-3.385,Reduce Price (Highly Elastic),48255.8
CHOCOLATE HOT WATER BOTTLE,-27.273,Reduce Price (Highly Elastic),47555.840000000004
PAPER CHAIN KIT VINTAGE CHRISTMAS,9.977,Increase Price (Inelastic),47240.020000000004
EDWARDIAN PARASOL BLACK,-10.062,Reduce Price (Highly Elastic),46676.22
VICTORIAN GLASS HANGING T-LIGHT,0.439,Increase Price (Inelastic),46440.909999999996
JUMBO SHOPPER VINTAGE RED PAISLEY,0.129,Increase Price (Inelastic),45784.63
PLEASE ONE PERSON METAL SIGN,-16.142,Reduce Price (Highly Elastic),45035.100000000006
HEART OF WICKER SMALL,-89.731,Reduce Price (Highly Elastic),45020.95
SCOTTIE DOG HOT WATER BOTTLE,-38.273,Reduce Price (Highly Elastic),44368.05
RED RETROSPOT CAKE STAND,-41.162,Reduce Price (Highly Elastic),44314.89
JUMBO BAG PINK POLKADOT,3.212,Increase Price (Inelastic),43967.14
JUMBO BAG PINK VINTAGE PAISLEY,-5.483,Reduce Price (Highly Elastic),43883.88
HOME BUILDING BLOCK WORD,-13.943,Reduce Price (Highly Elastic),43837.76
BAKING SET 9 PIECE RETROSPOT ,11.89,Increase Price (Inelastic),43155.060000000005
RED TOADSTOOL LED NIGHT LIGHT,-11.517,Reduce Price (Highly Elastic),42913.71
RED  HARMONICA IN BOX ,3.751,Increase Price (Inelastic),41939.65
COLOUR GLASS. STAR T-LIGHT HOLDER,-1.189,Reduce Price (Highly Elastic),41555.54
GIN + TONIC DIET METAL SIGN,1.409,Increase Price (Inelastic),41373.380000000005
NATURAL SLATE HEART CHALKBOARD ,2.555,Increase Price (Inelastic),41203.920000000006
ROUND SNACK BOXES SET OF4 WOODLAND ,-17.075,Reduce Price (Highly Elastic),40883.57000000001
WOODEN FRAME ANTIQUE WHITE ,-19.845,Reduce Price (Highly Elastic),40870.82000000001
DOORMAT UNION FLAG,-3.998,Reduce Price (Highly Elastic),40720.3
STRAWBERRY CERAMIC TRINKET BOX,8.228,Increase Price (Inelastic),40675.38
LUNCH BAG  BLACK SKULL.,-31.546,Reduce Price (Highly Elastic),40586.2
ROUND SNACK BOXES SET OF 4 FRUITS ,-41.626,Reduce Price (Highly Elastic),37966.840000000004
WOODEN PICTURE FRAME WHITE FINISH,-1.733,Reduce Price (Highly Elastic),37679.600000000006
COOK WITH WINE METAL SIGN ,3.551,Increase Price (Inelastic),37387.490000000005
LUNCH BAG CARS BLUE,-7.061,Reduce Price (Highly Elastic),37071.43
SPACEBOY LUNCH BOX ,-15.287,Reduce Price (Highly Elastic),36862.29
HOT WATER BOTTLE TEA AND SYMPATHY,9.588,Increase Price (Inelastic),36269.270000000004
SET/4 WHITE RETRO STORAGE CUBES ,-15.307,Reduce Price (Highly Elastic),36259.65
DOORMAT KEEP CALM AND COME IN,5.018,Increase Price (Inelastic),35913.85
CREAM SWEETHEART MINI CHEST,-22.503,Reduce Price (Highly Elastic),35889.479999999996
JUMBO BAG OWLS,0.316,Increase Price (Inelastic),35822.62
DOORMAT HEARTS,0.776,Increase Price (Inelastic),35815.2
SPOTTY BUNTING,-206.484,Reduce Price (Highly Elastic),35539.25
RED WOOLLY HOTTIE WHITE HEART.,5.26,Increase Price (Inelastic),35261.07
JAM MAKING SET WITH JARS,-2.907,Reduce Price (Highly Elastic),34851.72
SET OF 3 CAKE TINS PANTRY DESIGN ,-15.759,Reduce Price (Highly Elastic),33347.8
LUNCH BAG WOODLAND,-9.676,Reduce Price (Highly Elastic),33333.11
SMALL POPCORN HOLDER,17.548,Increase Price (Inelastic),33329.68
DOORMAT RED RETROSPOT,-12.76,Reduce Price (Highly Elastic),33132.450000000004
ROSES REGENCY TEACUP AND SAUCER ,-8.845,Reduce Price (Highly Elastic),33096.0
LUNCH BAG RED RETROSPOT,-1.557,Reduce Price (Highly Elastic),32940.4
BLACK HEART CARD HOLDER,-8.029,Reduce Price (Highly Elastic),32379.54
LOVE BUILDING BLOCK WORD,-13.984,Reduce Price (Highly Elastic),32325.16
DOORMAT NEW ENGLAND,-1.968,Reduce Price (Highly Elastic),32221.329999999998
ALARM CLOCK BAKELIKE RED ,46.355,Increase Price (Inelastic),31993.09
WOOD S/3 CABINET ANT WHITE FINISH,-7.378,Reduce Price (Highly Elastic),31557.8
DOLLY GIRL LUNCH BOX,-16.512,Reduce Price (Highly Elastic),31443.489999999998
HAND OVER THE CHOCOLATE   SIGN ,1.956,Increase Price (Inelastic),31138.050000000003
LUNCH BAG SPACEBOY DESIGN ,-20.445,Reduce Price (Highly Elastic),30463.35
