product_name,price_change_pct,expected_demand_change_pct
REGENCY CAKESTAND 3 TIER,-10.0,193.97
REGENCY CAKESTAND 3 TIER,-5.0,96.98
REGENCY CAKESTAND 3 TIER,5.0,-96.98
REGENCY CAKESTAND 3 TIER,10.0,-193.97
WHITE HANGING HEART T-LIGHT HOLDER,-10.0,234.97
WHITE HANGING HEART T-LIGHT HOLDER,-5.0,117.48
WHITE HANGING HEART T-LIGHT HOLDER,5.0,-117.48
WHITE HANGING HEART T-LIGHT HOLDER,10.0,-234.97
Manual,-10.0,2.69
Manual,-5.0,1.35
Manual,5.0,-1.35
Manual,10.0,-2.69
JUMBO BAG RED RETROSPOT,-10.0,3.34
JUMBO BAG RED RETROSPOT,-5.0,1.67
JUMBO BAG RED RETROSPOT,5.0,-1.67
JUMBO BAG RED RETROSPOT,10.0,-3.34
ASSORTED COLOUR BIRD ORNAMENT,-10.0,97.49
ASSORTED COLOUR BIRD ORNAMENT,-5.0,48.75
ASSORTED COLOUR BIRD ORNAMENT,5.0,-48.75
ASSORTED COLOUR BIRD ORNAMENT,10.0,-97.49
POSTAGE,-10.0,0.75
POSTAGE,-5.0,0.38
POSTAGE,5.0,-0.38
POSTAGE,10.0,-0.75
PARTY BUNTING,-10.0,-67.6
PARTY BUNTING,-5.0,-33.8
PARTY BUNTING,5.0,33.8
PARTY BUNTING,10.0,67.6
MEDIUM CERAMIC TOP STORAGE JAR,-10.0,309.32
MEDIUM CERAMIC TOP STORAGE JAR,-5.0,154.66
MEDIUM CERAMIC TOP STORAGE JAR,5.0,-154.66
MEDIUM CERAMIC TOP STORAGE JAR,10.0,-309.32
PAPER CHAIN KIT 50'S CHRISTMAS ,-10.0,190.28
PAPER CHAIN KIT 50'S CHRISTMAS ,-5.0,95.14
PAPER CHAIN KIT 50'S CHRISTMAS ,5.0,-95.14
PAPER CHAIN KIT 50'S CHRISTMAS ,10.0,-190.28
CHILLI LIGHTS,-10.0,7.59
CHILLI LIGHTS,-5.0,3.8
CHILLI LIGHTS,5.0,-3.8
CHILLI LIGHTS,10.0,-7.59
BLACK RECORD COVER FRAME,-10.0,-49.55
BLACK RECORD COVER FRAME,-5.0,-24.78
BLACK RECORD COVER FRAME,5.0,24.78
BLACK RECORD COVER FRAME,10.0,49.55
JUMBO BAG STRAWBERRY,-10.0,43.57
JUMBO BAG STRAWBERRY,-5.0,21.79
JUMBO BAG STRAWBERRY,5.0,-21.79
JUMBO BAG STRAWBERRY,10.0,-43.57
WOOD BLACK BOARD ANT WHITE FINISH,-10.0,17.57
WOOD BLACK BOARD ANT WHITE FINISH,-5.0,8.79
WOOD BLACK BOARD ANT WHITE FINISH,5.0,-8.79
WOOD BLACK BOARD ANT WHITE FINISH,10.0,-17.57
ROTATING SILVER ANGELS T-LIGHT HLDR,-10.0,34.38
ROTATING SILVER ANGELS T-LIGHT HLDR,-5.0,17.19
ROTATING SILVER ANGELS T-LIGHT HLDR,5.0,-17.19
ROTATING SILVER ANGELS T-LIGHT HLDR,10.0,-34.38
VINTAGE UNION JACK BUNTING,-10.0,274.57
VINTAGE UNION JACK BUNTING,-5.0,137.29
VINTAGE UNION JACK BUNTING,5.0,-137.29
VINTAGE UNION JACK BUNTING,10.0,-274.57
EDWARDIAN PARASOL NATURAL,-10.0,113.14
EDWARDIAN PARASOL NATURAL,-5.0,56.57
EDWARDIAN PARASOL NATURAL,5.0,-56.57
EDWARDIAN PARASOL NATURAL,10.0,-113.14
JUMBO  BAG BAROQUE BLACK WHITE,-10.0,48.38
JUMBO  BAG BAROQUE BLACK WHITE,-5.0,24.19
JUMBO  BAG BAROQUE BLACK WHITE,5.0,-24.19
JUMBO  BAG BAROQUE BLACK WHITE,10.0,-48.38
CREAM HEART CARD HOLDER,-10.0,116.02
CREAM HEART CARD HOLDER,-5.0,58.01
CREAM HEART CARD HOLDER,5.0,-58.01
CREAM HEART CARD HOLDER,10.0,-116.02
HEART OF WICKER LARGE,-10.0,351.07
HEART OF WICKER LARGE,-5.0,175.53
HEART OF WICKER LARGE,5.0,-175.53
HEART OF WICKER LARGE,10.0,-351.07
VINTAGE UNION JACK MEMOBOARD,-10.0,898.47
VINTAGE UNION JACK MEMOBOARD,-5.0,449.24
VINTAGE UNION JACK MEMOBOARD,5.0,-449.24
VINTAGE UNION JACK MEMOBOARD,10.0,-898.47
RABBIT NIGHT LIGHT,-10.0,155.13
RABBIT NIGHT LIGHT,-5.0,77.57
RABBIT NIGHT LIGHT,5.0,-77.57
RABBIT NIGHT LIGHT,10.0,-155.13
